"","age","gender","country","E1","E2","E3","N1","N2","N3","A1","A2","A3","C1","C2","C3","O1","O2","O3","extroversion","neuroticism","agreeableness","conscientiousness","openness"
"26",19,"Female","GR",1,2,2,5,4,3,4,5,4,4,5,2,5,5,5,0,1,1,1,1
"27",48,"Male","US",5,4,5,3,4,3,5,4,5,2,2,5,5,4,5,1,1,1,1,1
"28",22,"Male","US",3,4,2,4,4,2,2,3,3,3,3,3,4,3,3,1,1,1,1,1
"29",17,"Female","US",2,3,2,5,5,4,5,4,3,2,3,3,3,3,5,0,1,1,1,1
"30",37,"Male","DK",3,3,2,1,4,3,4,4,4,4,4,2,4,4,3,1,1,1,1,1
"31",19,"Female","US",4,1,4,4,5,4,5,5,4,1,3,1,5,3,5,1,1,1,0,1
"32",22,"Female","US",2,3,3,5,5,2,3,4,5,3,5,3,5,5,5,1,1,1,1,1
"33",25,"Male","US",4,4,4,2,4,2,4,4,4,4,4,4,2,4,4,1,1,1,1,1
"34",20,"Female","US",5,4,5,4,4,4,5,4,4,2,1,1,4,4,4,1,1,1,0,1
"35",15,"Female","GB",1,3,3,3,4,3,3,3,3,2,3,2,4,3,3,0,1,1,0,1
"36",46,"Female","US",1,3,3,4,5,5,3,5,3,5,5,4,4,5,3,0,1,1,1,1
"37",15,"Male","GB",1,2,2,1,4,2,5,5,1,5,5,2,5,5,5,0,0,1,1,1
"38",18,"Female","US",2,3,4,2,3,2,4,4,5,4,4,4,5,4,5,1,0,1,1,1
"39",42,"Male","US",2,2,2,3,3,2,3,3,2,3,3,2,3,4,4,0,1,1,1,1
"40",27,"Female","US",1,2,2,3,5,2,4,4,3,4,5,4,4,4,4,0,1,1,1,1
"41",17,"Male","US",5,1,5,1,1,1,1,1,5,5,5,1,5,5,5,1,0,0,1,1
"42",17,"Female","US",4,3,3,5,5,5,5,4,3,4,4,4,1,4,2,1,1,1,1,0
"43",17,"Female","US",2,2,2,3,4,3,3,4,3,4,5,2,4,4,5,0,1,1,1,1
"44",60,"Female","US",3,5,5,2,5,4,5,5,5,5,5,5,4,5,5,1,1,1,1,1
"45",27,"Female","CA",1,4,3,4,5,5,5,5,5,5,4,4,5,5,2,1,1,1,1,1
"46",19,"Female","US",4,4,5,5,4,3,4,4,4,5,3,5,4,4,5,1,1,1,1,1
"47",20,"Male","US",1,2,2,3,3,2,3,2,3,3,4,2,5,3,3,0,1,1,1,1
"48",19,"Male","IN",2,5,5,1,2,1,5,4,5,5,5,5,3,5,4,1,0,1,1,1
"49",26,"Female","US",1,1,1,5,5,5,3,4,3,1,2,3,5,2,4,0,1,1,0,1
"50",24,"Male","MX",1,3,4,4,5,4,3,4,2,4,4,2,5,5,5,1,1,1,1,1
"51",19,"Female","US",1,2,1,5,5,4,4,5,2,4,5,4,4,4,4,0,1,1,1,1
"52",18,"Female","GB",2,2,2,5,5,5,2,2,3,1,3,2,5,4,5,0,1,0,0,1
"53",14,"Female","US",2,2,4,4,4,5,4,2,2,2,5,2,4,3,5,1,1,1,1,1
"54",25,"Female","IN",2,4,4,5,2,2,5,5,5,5,4,4,1,4,4,1,1,1,1,1
"55",47,"Male","US",4,3,2,4,4,3,5,2,3,5,4,4,4,4,5,1,1,1,1,1
"56",18,"Male","US",2,2,2,4,4,4,2,4,3,3,3,2,4,4,3,0,1,1,1,1
"57",23,"Male","SE",2,4,2,5,5,5,4,2,3,4,5,5,5,3,4,1,1,1,1,1
"58",14,"Other","GB",2,2,2,5,4,3,4,3,2,2,3,2,3,4,2,0,1,1,0,1
"59",20,"Female","US",1,2,1,5,5,4,5,5,3,4,2,4,5,5,4,0,1,1,1,1
"60",35,"Female","US",4,5,5,5,5,5,5,5,5,2,5,5,5,5,5,1,1,1,1,1
"61",34,"Female","US",4,4,5,2,4,3,5,5,4,4,4,4,4,3,3,1,1,1,1,1
"62",36,"Female","JO",5,5,5,5,5,5,5,5,5,4,5,2,5,2,3,1,1,1,1,1
"63",15,"Male","US",3,3,2,4,4,4,4,4,2,3,4,2,5,2,4,1,1,1,1,1
"64",20,"Male","US",4,4,4,1,2,2,5,5,4,4,5,3,3,4,4,1,0,1,1,1
"65",54,"Female","CA",2,4,2,3,3,1,3,3,5,4,5,4,5,4,5,1,0,1,1,1
"66",47,"Male","US",2,5,4,3,4,2,4,5,4,2,3,2,4,5,4,1,1,1,0,1
"67",17,"Male","IN",3,4,3,5,5,5,5,5,5,3,5,3,5,3,3,1,1,1,1,1
"68",45,"Male","US",4,4,3,2,4,2,3,5,5,4,5,5,4,5,3,1,1,1,1,1
"69",32,"Female","US",2,5,4,5,5,4,4,4,2,4,5,5,2,4,2,1,1,1,1,1
"70",23,"Female","NO",3,5,5,3,4,3,5,5,4,2,4,1,4,4,3,1,1,1,0,1
"71",23,"Female","US",4,4,4,4,5,2,5,5,5,3,4,3,4,4,4,1,1,1,1,1
"72",14,"Female","US",1,2,4,5,5,5,3,5,3,4,3,5,5,4,5,0,1,1,1,1
"73",19,"Male","IE",5,2,2,4,5,3,4,5,3,3,3,2,5,5,4,1,1,1,1,1
"74",15,"Female","NZ",1,2,3,5,5,5,5,5,3,3,3,3,4,3,3,0,1,1,1,1
"75",49,"Female","FI",3,4,5,4,4,2,4,4,4,2,3,2,4,5,4,1,1,1,0,1
"76",47,"Female","US",1,2,1,5,3,4,4,4,5,3,5,3,5,5,5,0,1,1,1,1
"77",23,"Female","BE",3,4,4,5,5,5,5,5,5,4,5,3,3,4,3,1,1,1,1,1
"78",19,"Female","FI",1,2,2,5,5,4,2,2,2,4,5,4,5,4,4,0,1,0,1,1
"79",36,"Male","US",3,1,5,4,5,3,5,4,3,5,4,5,3,4,4,1,1,1,1,1
"80",21,"Female","GB",2,4,4,5,5,5,5,5,3,4,2,2,5,5,4,1,1,1,1,1
"81",21,"Female","BE",3,3,5,5,5,5,5,5,3,3,5,5,5,5,5,1,1,1,1,1
"82",13,"Male","GB",3,3,3,5,5,5,2,3,4,3,4,3,4,4,3,1,1,1,1,1
"83",21,"Female","US",3,3,3,3,3,3,3,4,4,3,4,3,4,4,4,1,1,1,1,1
"84",32,"Male","HR",4,5,5,1,3,1,4,4,5,5,5,5,3,5,3,1,0,1,1,1
"85",33,"Female","US",4,5,5,3,4,3,5,5,5,3,4,4,5,5,5,1,1,1,1,1
"86",33,"Male","US",3,4,4,2,2,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1
"87",16,"Male","GB",2,2,2,3,4,4,3,4,2,2,3,3,5,4,3,0,1,1,1,1
"88",21,"Female","BE",3,2,4,4,5,3,1,4,4,3,5,2,5,5,4,1,1,1,1,1
"89",31,"Female","NO",3,5,5,1,2,2,3,4,3,3,2,2,3,5,5,1,0,1,0,1
"90",17,"Male","US",1,1,1,4,5,3,5,5,4,1,5,1,5,4,5,0,1,1,0,1
"91",26,"Female","GB",2,3,3,3,3,3,4,5,4,3,4,4,2,4,2,1,1,1,1,1
"92",34,"Male","BE",4,3,4,5,5,4,5,5,5,4,5,4,5,5,5,1,1,1,1,1
"93",21,"Female","ZA",1,5,5,1,3,1,5,3,3,5,5,5,4,5,4,1,0,1,1,1
"94",26,"Female","US",5,5,3,1,1,1,5,2,4,4,4,4,4,5,4,1,0,1,1,1
"95",22,"Female","NO",2,3,4,1,2,1,3,3,5,5,4,2,4,3,3,1,0,1,1,1
"96",19,"Female","NO",1,2,2,5,5,4,4,5,3,2,4,2,4,3,3,0,1,1,1,1
"97",19,"Male","FI",4,2,2,2,2,3,4,4,3,3,3,2,4,4,3,1,0,1,1,1
"98",21,"Female","US",4,5,5,3,3,4,5,5,4,3,4,3,5,5,5,1,1,1,1,1
"99",49,"Male","BE",3,5,4,3,3,1,5,4,5,4,5,5,4,4,5,1,0,1,1,1
"100",18,"Female","US",3,4,5,4,4,3,5,5,5,4,5,4,5,5,5,1,1,1,1,1
"101",32,"Female","US",1,2,1,4,4,4,3,4,3,4,3,4,3,4,2,0,1,1,1,1
"102",60,"Female","US",1,5,5,4,4,4,5,5,5,2,5,5,5,5,5,1,1,1,1,1
"103",22,"Female","IE",1,2,3,5,5,5,4,4,5,2,4,2,5,5,3,0,1,1,1,1
"104",24,"Male","PL",1,1,2,2,2,2,2,1,3,4,4,4,3,5,4,0,0,0,1,1
"105",16,"Female","BR",2,3,3,3,4,2,5,5,3,3,3,4,4,4,5,1,1,1,1,1
"106",20,"Male","SK",2,2,3,4,4,3,3,2,3,3,3,2,4,4,4,0,1,1,1,1
"107",47,"Female","US",3,3,3,2,3,2,4,4,4,2,3,3,4,4,4,1,0,1,1,1
"108",15,"Female","US",2,2,3,5,4,2,3,3,3,4,4,4,3,5,3,0,1,1,1,1
"109",17,"Female","US",1,3,3,4,5,3,2,2,3,3,4,1,3,3,1,0,1,0,1,0
"110",13,"Female","US",5,5,5,1,1,1,5,5,5,5,5,5,5,5,5,1,0,1,1,1
"111",16,"Female","HR",4,1,2,5,5,2,5,2,3,5,2,4,5,5,3,0,1,1,1,1
"112",23,"Female","SA",1,2,4,3,2,2,3,2,4,4,2,1,3,3,3,0,0,1,0,1
"113",30,"Female","US",5,5,5,3,3,1,5,5,5,4,3,3,4,4,5,1,0,1,1,1
"114",17,"Female","US",3,4,5,4,5,2,5,4,4,1,4,4,5,4,5,1,1,1,1,1
"115",20,"Female","US",2,3,3,4,4,3,4,4,4,4,3,4,4,3,3,1,1,1,1,1
"116",25,"Male","US",2,2,4,4,5,4,4,4,2,4,4,4,5,4,4,1,1,1,1,1
"117",27,"Male","BR",4,4,4,4,3,3,3,2,4,4,4,2,5,4,5,1,1,1,1,1
"118",25,"Female","US",1,2,2,4,4,2,4,4,3,5,5,5,4,4,3,0,1,1,1,1
"119",21,"Female","US",3,3,4,4,4,3,5,5,3,4,4,4,4,4,2,1,1,1,1,1
"120",59,"Male","IE",1,4,4,1,2,2,4,4,3,3,2,4,5,3,5,1,0,1,1,1
"121",30,"Female","US",4,5,4,2,2,2,5,4,4,4,5,3,5,5,5,1,0,1,1,1
"122",37,"Female","US",5,5,5,1,3,5,3,2,5,1,1,3,1,5,5,1,1,1,0,1
"123",27,"Female","NZ",2,3,3,5,5,3,4,4,4,3,3,3,4,3,4,1,1,1,1,1
"124",41,"Female","US",2,3,2,4,4,4,4,4,3,5,5,5,3,4,3,0,1,1,1,1
"125",18,"Male","GB",4,5,3,3,3,1,3,2,5,3,4,2,5,4,5,1,0,1,1,1
"126",21,"Female","US",3,3,4,5,5,4,4,5,4,2,4,2,4,3,4,1,1,1,1,1
"127",15,"Female","US",5,5,3,3,5,1,3,5,5,4,5,5,4,5,4,1,1,1,1,1
"128",18,"Female","BR",2,1,4,5,4,4,2,3,3,3,4,3,5,4,5,0,1,1,1,1
"129",20,"Male","GB",4,5,5,1,4,1,5,5,4,3,4,2,4,4,4,1,0,1,1,1
"130",35,"Male","US",5,5,5,1,5,1,5,5,5,4,4,5,5,5,5,1,0,1,1,1
"131",24,"Female","GB",2,2,3,4,4,3,3,3,2,1,3,1,4,3,3,0,1,1,0,1
"132",33,"Female","US",5,4,5,5,4,4,5,5,2,1,3,4,3,4,4,1,1,1,1,1
"133",20,"Female","PH",3,2,2,3,4,2,3,3,2,3,4,4,4,3,3,0,1,1,1,1
"134",59,"Female","US",1,4,4,2,1,2,4,4,4,4,4,2,3,4,3,1,0,1,1,1
"135",19,"Female","CA",5,5,5,4,5,2,3,3,4,2,4,3,5,3,4,1,1,1,1,1
"136",26,"Male","BR",2,2,2,3,4,4,3,3,2,4,4,4,5,4,5,0,1,1,1,1
"137",24,"Female","CA",3,4,4,3,3,2,3,5,5,5,5,5,5,5,4,1,1,1,1,1
"138",31,"Female","US",5,5,5,4,4,4,5,5,5,3,3,3,5,5,5,1,1,1,1,1
"139",30,"Female","US",1,3,3,4,5,2,5,5,5,2,3,1,5,4,5,0,1,1,0,1
"140",18,"Female","US",1,2,2,4,5,4,3,2,2,4,5,3,4,3,3,0,1,0,1,1
"141",24,"Female","US",3,4,3,4,5,3,4,4,5,5,5,5,5,4,4,1,1,1,1,1
"142",13,"Female","US",4,5,4,2,3,2,5,5,4,4,5,4,5,5,5,1,0,1,1,1
"143",19,"Female","US",3,5,5,3,3,1,5,5,4,3,2,2,3,4,4,1,0,1,0,1
"144",20,"Female","US",2,2,2,5,5,3,2,2,4,4,4,2,4,4,4,0,1,1,1,1
"145",13,"Female","US",3,4,4,2,5,4,4,5,2,4,4,4,4,4,4,1,1,1,1,1
"146",16,"Female","US",4,3,5,4,2,3,2,3,3,1,2,1,4,3,5,1,1,1,0,1
"147",17,"Female","AU",1,5,5,1,4,3,5,5,5,2,5,1,5,5,1,1,1,1,1,1
"148",27,"Female","US",3,5,5,3,2,3,5,4,4,2,2,3,4,4,3,1,1,1,0,1
"149",20,"Female","US",1,4,4,4,4,2,4,4,4,2,3,4,5,4,4,1,1,1,1,1
"150",44,"Female","JP",2,3,4,4,2,4,4,5,4,2,2,4,3,4,3,1,1,1,1,1
"151",21,"Female","CA",4,4,4,4,4,4,4,4,4,3,2,2,3,3,2,1,1,1,0,1
"152",21,"Female","CA",3,4,5,3,4,4,5,4,4,5,4,4,3,5,4,1,1,1,1,1
"153",23,"Male","IN",2,4,3,3,4,2,5,3,4,4,2,4,2,4,4,1,1,1,1,1
"154",24,"Female","US",1,1,3,5,5,5,2,4,5,4,5,4,5,4,5,0,1,1,1,1
"155",39,"Male","CA",2,2,4,2,4,2,4,4,4,3,2,3,4,4,4,1,1,1,1,1
"156",45,"Female","US",1,2,2,4,4,3,5,4,2,4,5,3,3,5,4,0,1,1,1,1
"157",45,"Female","US",3,5,5,3,3,3,5,5,4,3,3,1,3,4,3,1,1,1,0,1
"158",20,"Male","US",3,5,5,2,4,1,5,5,5,3,5,4,5,4,5,1,0,1,1,1
"159",21,"Female","US",2,2,3,5,5,4,3,4,3,3,4,5,5,3,4,0,1,1,1,1
"160",23,"Female","ID",2,3,2,3,3,2,4,4,4,5,4,5,5,4,4,0,1,1,1,1
"161",23,"Female","PH",2,5,4,4,5,4,5,5,5,5,4,5,5,5,5,1,1,1,1,1
"162",22,"Female","US",1,3,1,5,5,5,2,5,3,1,4,1,5,3,4,0,1,1,0,1
"163",16,"Female","US",4,5,5,4,4,4,5,4,5,3,4,4,4,5,5,1,1,1,1,1
"164",20,"Male","AU",4,5,5,3,2,1,4,5,5,2,2,1,5,4,5,1,0,1,0,1
"165",33,"Female","IN",2,4,4,1,2,2,4,5,5,4,4,4,2,4,4,1,0,1,1,1
"166",17,"Female","AU",4,3,4,4,4,2,5,4,4,2,5,2,5,2,4,1,1,1,1,1
"167",17,"Unanswered","CA",1,3,2,3,4,3,4,3,3,3,4,4,5,4,5,0,1,1,1,1
"168",20,"Female","US",2,4,4,5,5,5,5,5,4,4,4,4,4,4,4,1,1,1,1,1
"169",59,"Female","US",1,3,1,1,1,1,4,3,4,1,2,1,5,3,4,0,0,1,0,1
"170",25,"Male","CA",5,4,5,1,3,2,5,5,5,4,4,5,5,5,5,1,0,1,1,1
"171",18,"Female","AU",1,1,1,5,5,3,2,2,3,4,4,3,5,3,5,0,1,0,1,1
"172",27,"Male","US",1,3,3,3,5,4,5,4,5,3,4,3,4,5,4,0,1,1,1,1
"173",24,"Female","CA",3,2,1,3,4,3,4,4,3,2,4,3,3,3,3,0,1,1,1,1
"174",29,"Male","US",5,5,5,1,5,1,5,4,5,5,5,1,5,5,5,1,0,1,1,1
"175",16,"Female","US",2,3,3,1,2,1,3,2,5,5,4,4,4,3,4,1,0,1,1,1
"176",29,"Male","US",2,3,4,2,4,2,4,5,3,3,4,4,4,4,4,1,1,1,1,1
"177",33,"Female","US",2,2,5,5,5,5,3,4,3,3,2,1,5,1,5,1,1,1,0,1
"178",21,"Male","IN",4,4,2,3,4,2,4,4,2,3,4,3,4,5,4,1,1,1,1,1
"179",26,"Male","US",3,4,4,4,4,3,4,4,4,4,4,3,5,4,4,1,1,1,1,1
"180",21,"Male","IN",1,2,3,2,3,4,4,4,3,2,4,2,4,4,5,0,1,1,1,1
"181",26,"Female","IN",3,5,4,3,2,3,2,4,5,3,4,4,5,5,5,1,1,1,1,1
"182",14,"Male","US",3,3,5,4,5,2,3,1,2,4,2,1,5,5,5,1,1,0,0,1
"183",13,"Male","US",1,3,3,5,5,5,3,2,3,4,4,3,5,4,4,0,1,1,1,1
"184",30,"Male","SE",4,5,5,1,1,1,5,5,5,5,5,1,5,5,5,1,0,1,1,1
"185",27,"Male","US",3,2,4,5,5,4,4,4,4,2,4,3,4,5,4,1,1,1,1,1
"186",17,"Male","US",2,2,3,5,5,4,4,4,1,2,4,3,5,5,5,0,1,1,1,1
"187",17,"Female","US",5,5,5,3,3,3,4,3,3,3,3,2,3,5,3,1,1,1,1,1
"188",19,"Female","AU",3,4,3,1,2,3,4,4,3,3,4,2,2,4,3,1,0,1,1,1
"189",18,"Male","US",1,4,1,3,3,1,3,1,2,2,5,3,3,5,5,0,0,0,1,1
"190",23,"Female","MY",1,2,4,5,2,3,3,4,3,3,3,5,4,3,2,0,1,1,1,1
"191",20,"Female","IN",5,5,1,5,1,1,5,5,5,1,5,4,5,4,4,1,0,1,1,1
"192",19,"Female","MY",4,3,3,4,4,5,4,4,5,3,3,3,4,5,4,1,1,1,1,1
"193",23,"Male","IN",4,4,4,1,3,2,4,5,4,3,4,4,4,4,4,1,0,1,1,1
"194",14,"Male","US",1,3,1,2,3,3,2,1,3,3,5,3,5,4,5,0,1,0,1,1
"195",18,"Male","IN",1,4,1,3,5,3,4,4,3,2,5,1,4,2,5,0,1,1,1,1
"196",18,"Female","US",4,5,5,1,1,1,5,4,5,2,2,1,5,3,3,1,0,1,0,1
"197",16,"Male","KW",2,3,1,4,5,4,3,2,4,2,4,1,4,3,4,0,1,1,0,1
"198",23,"Female","OM",3,4,3,2,4,4,4,4,5,5,5,5,4,3,3,1,1,1,1,1
"199",22,"Female","IN",5,5,5,3,3,3,5,5,4,5,5,5,3,5,3,1,1,1,1,1
"200",19,"Male","US",1,2,2,2,2,2,4,4,4,3,3,3,5,3,5,0,0,1,1,1
"201",21,"Male","US",3,3,3,3,5,4,4,4,3,4,5,2,4,4,5,1,1,1,1,1
"202",19,"Male","MY",1,1,1,5,5,5,1,3,3,3,3,2,5,3,1,0,1,0,1,1
"203",14,"Male","AU",1,5,3,3,5,5,5,5,4,1,3,3,4,3,4,1,1,1,0,1
"204",39,"Female","AU",5,5,5,5,5,3,5,5,5,3,4,3,5,5,5,1,1,1,1,1
"205",26,"Male","DK",1,2,1,1,5,1,3,5,1,3,5,3,5,1,3,0,0,1,1,1
"206",48,"Male","GB",1,5,4,1,3,2,5,4,4,4,4,4,5,5,5,1,0,1,1,1
"207",33,"Female","NZ",1,2,4,3,4,4,3,2,2,3,4,4,3,4,3,0,1,0,1,1
"208",20,"Male","ID",2,2,3,1,4,3,3,2,4,5,3,3,4,3,3,0,1,1,1,1
"209",22,"Female","DK",4,5,4,3,4,2,5,5,5,4,4,5,3,4,4,1,1,1,1,1
"210",21,"Male","TR",1,5,2,3,5,1,1,1,1,5,5,5,3,5,3,1,1,0,1,1
"211",29,"Female","GB",1,4,2,4,5,4,2,2,2,5,5,4,4,2,3,0,1,0,1,1
"212",43,"Male","AU",3,4,4,4,4,4,4,4,4,3,3,2,4,4,4,1,1,1,1,1
"213",13,"Female","SG",1,2,4,3,5,4,4,2,4,3,5,2,4,5,5,0,1,1,1,1
"214",22,"Male","IN",2,2,5,1,4,5,3,5,4,3,3,3,2,4,4,1,1,1,1,1
"215",23,"Female","GB",4,3,4,3,5,5,5,5,4,5,5,3,5,2,3,1,1,1,1,1
"216",24,"Male","LT",3,3,3,1,4,3,4,5,2,3,5,5,4,3,1,1,1,1,1,1
"217",39,"Male","GB",2,2,2,4,5,4,4,5,3,5,5,4,5,4,5,0,1,1,1,1
"218",29,"Female","AU",4,3,5,4,5,1,5,5,4,4,5,3,5,4,5,1,1,1,1,1
"219",39,"Male","IE",2,4,5,4,5,2,4,5,4,3,4,2,5,4,2,1,1,1,1,1
"220",26,"Female","US",2,2,2,4,4,4,2,4,3,2,4,2,2,2,2,0,1,1,1,0
"221",17,"Female","GB",4,3,4,5,5,5,5,4,4,3,5,1,5,5,5,1,1,1,1,1
"222",18,"Female","AU",5,5,5,4,5,4,5,5,4,3,4,3,3,4,3,1,1,1,1,1
"223",17,"Female","IL",3,4,4,3,3,3,4,2,4,5,2,1,4,4,5,1,1,1,1,1
"224",26,"Female","IN",5,5,5,1,3,5,5,3,3,5,5,4,3,5,3,1,1,1,1,1
"225",17,"Male","GB",2,3,2,4,5,3,5,5,3,3,4,3,5,2,5,0,1,1,1,1
"226",16,"Female","GB",4,2,2,3,5,5,3,2,2,5,4,4,3,3,2,1,1,0,1,1
"227",17,"Female","GB",2,4,3,5,5,3,4,5,4,5,4,4,5,4,3,1,1,1,1,1
"228",35,"Male","PL",3,5,3,1,1,4,4,2,3,4,2,2,4,5,5,1,0,1,1,1
"229",39,"Female","DE",1,2,2,4,4,3,4,4,4,4,4,4,2,4,3,0,1,1,1,1
"230",18,"Female","GB",2,2,2,3,4,3,3,3,3,2,4,3,5,3,4,0,1,1,1,1
"231",29,"Female","MY",2,2,2,3,3,4,3,4,3,4,2,4,2,4,3,0,1,1,1,1
"232",15,"Female","ID",1,1,3,5,3,5,1,4,4,2,3,1,5,5,5,0,1,1,0,1
"233",15,"Male","IN",1,1,1,5,5,5,2,5,1,1,5,1,5,5,5,0,1,1,0,1
"234",16,"Male","AE",1,4,5,5,5,5,5,5,5,4,5,4,3,5,2,1,1,1,1,1
"235",20,"Female","LT",3,4,3,3,5,3,5,5,5,2,5,2,5,5,5,1,1,1,1,1
"236",19,"Male","PK",1,1,1,1,2,4,1,1,1,1,3,1,1,4,4,0,0,0,0,1
"237",42,"Female","GB",3,3,4,4,5,5,4,5,4,2,4,2,5,5,3,1,1,1,1,1
"238",19,"Male","MY",2,2,3,3,4,3,4,4,4,4,3,3,4,4,4,0,1,1,1,1
"239",18,"Female","BT",1,1,5,5,5,4,4,3,1,5,4,4,4,4,3,0,1,1,1,1
"240",17,"Male","ID",1,3,2,2,3,2,2,3,3,4,3,4,3,4,3,0,0,1,1,1
"241",15,"Female","DE",1,1,2,5,5,5,4,3,3,3,4,1,5,5,4,0,1,1,1,1
"242",42,"Female","DK",3,5,5,1,2,1,5,5,5,4,3,1,5,5,4,1,0,1,1,1
"243",25,"Female","US",1,3,3,5,5,5,5,5,4,2,3,2,3,5,3,0,1,1,0,1
"244",15,"Male","CA",2,3,2,5,4,3,4,4,3,3,4,1,3,3,3,0,1,1,1,1
"245",17,"Female","IN",1,5,5,5,5,5,3,5,4,2,5,5,5,4,4,1,1,1,1,1
"246",16,"Female","IN",3,5,3,5,5,5,4,5,5,1,1,1,5,5,5,1,1,1,0,1
"247",26,"Male","AR",2,4,5,3,5,4,4,4,4,4,5,5,5,4,4,1,1,1,1,1
"248",19,"Other","RO",1,2,1,2,2,2,2,4,3,2,3,1,5,4,3,0,0,1,0,1
"249",37,"Female","RS",1,3,3,4,5,2,3,4,3,5,4,4,4,5,3,0,1,1,1,1
"250",24,"Male","IN",3,4,2,4,5,5,3,5,4,3,5,3,4,4,4,1,1,1,1,1
"251",19,"Female","PH",5,4,2,3,3,2,4,4,5,3,2,1,4,5,3,1,1,1,0,1
"252",36,"Male","US",1,2,2,3,4,1,4,5,5,2,3,4,4,4,5,0,1,1,1,1
"253",16,"Male","IN",3,4,4,4,3,4,4,4,3,2,4,2,3,4,4,1,1,1,1,1
"254",24,"Male","IN",3,4,3,2,4,4,3,4,4,3,5,3,4,5,4,1,1,1,1,1
"255",26,"Female","GH",4,5,5,3,3,2,4,3,5,4,5,5,4,3,5,1,1,1,1,1
"256",20,"Male","PH",1,5,4,5,5,4,5,5,5,3,5,4,4,5,5,1,1,1,1,1
"257",38,"Female","NL",1,1,1,5,5,5,2,3,3,1,2,4,4,3,2,0,1,1,0,1
"258",15,"Female","US",1,1,1,4,4,1,3,3,3,5,4,2,5,4,5,0,1,1,1,1
"259",17,"Female","DK",2,3,2,3,4,3,4,3,3,4,4,3,5,3,4,0,1,1,1,1
"260",22,"Male","AU",1,3,1,4,5,4,4,5,3,3,4,4,5,5,1,0,1,1,1,1
"261",20,"Female","MU",4,5,4,4,4,2,5,5,5,5,5,5,1,5,5,1,1,1,1,1
"262",27,"Female","KE",1,3,3,1,1,1,5,5,1,5,5,1,5,5,2,0,0,1,1,1
"263",42,"Female","PH",3,4,5,5,5,3,4,5,4,4,5,5,5,5,5,1,1,1,1,1
"264",25,"Female","GB",2,3,3,3,4,3,4,5,3,4,5,4,4,4,4,1,1,1,1,1
"265",39,"Female","US",4,5,5,4,4,3,5,4,4,5,4,5,4,4,4,1,1,1,1,1
"266",23,"Male","IN",3,4,2,4,4,2,2,2,4,2,4,3,3,4,4,1,1,1,1,1
"267",14,"Female","PH",1,1,2,5,5,5,3,3,3,3,2,1,5,1,4,0,1,1,0,1
"268",21,"Female","GB",3,5,5,4,4,1,4,3,5,5,2,4,3,3,3,1,1,1,1,1
