"country","gdp","support","life_expectancy","freedom","generosity","corruption","residual"
"Ghana",1.077,0.747,0.36,0.623,0.183,0.028,1.273
"Greece",1.684,1.276,0.696,0.337,0.018,0.093,1.83
"Guatemala",1.26,1.169,0.467,0.735,0.105,0.078,2.473
"Guinea",0.831,0.622,0.236,0.521,0.21,0.107,2.497
"Honduras",1.091,1.035,0.502,0.72,0.175,0.081,2.364
"Hong Kong S.A.R. of China",1.909,1.184,0.857,0.485,0.147,0.402,0.333
"Hungary",1.722,1.528,0.596,0.581,0.123,0.067,1.4
"Iceland",1.881,1.617,0.718,0.819,0.258,0.182,2.05
"India",1.166,0.653,0.417,0.767,0.174,0.122,0.756
"Indonesia",1.361,1.184,0.472,0.779,0.399,0.055,1.318
"Iran",1.435,1.136,0.571,0.366,0.235,0.123,1.057
"Iraq",1.249,0.996,0.498,0.425,0.141,0.048,1.809
"Ireland",2.129,1.39,0.7,0.758,0.205,0.418,1.239
"Israel",1.803,1.513,0.74,0.641,0.153,0.193,2.298
"Italy",1.8,1.328,0.72,0.513,0.112,0.074,1.777
"Ivory Coast",1.08,0.578,0.288,0.547,0.12,0.164,2.303
"Jamaica",1.28,1.324,0.567,0.647,0.089,0.028,1.907
"Japan",1.786,1.354,0.785,0.632,0.023,0.219,1.261
"Jordan",1.262,0.983,0.594,0.593,0.059,0.189,0.504
"Kazakhstan",1.622,1.457,0.556,0.733,0.149,0.12,1.551
"Kenya",1.037,0.895,0.353,0.519,0.282,0.069,1.316
"Kosovo",1.364,1.277,0.599,0.739,0.254,0.073,2.255
"Kuwait",1.845,1.364,0.661,0.827,0.2,0.172,1.884
"Kyrgyzstan",1.054,1.477,0.588,0.834,0.225,0.03,1.505
"Laos",1.208,0.846,0.423,0.796,0.17,0.167,1.529
"Latvia",1.7,1.508,0.564,0.666,0.127,0.078,1.59
"Lebanon",1.377,0.577,0.556,0.173,0.068,0.029,-0.073
"Lesotho",0.771,0.851,0,0.523,0.082,0.085,0.875
"Liberia",0.619,0.673,0.301,0.546,0.178,0.075,1.878
"Libya",1.526,1.1,0.55,0.592,0.111,0.204,1.785
"Lithuania",1.766,1.454,0.598,0.533,0.044,0.116,2.307
"Luxembourg",2.141,1.355,0.708,0.801,0.146,0.432,1.54
"Madagascar",0.628,0.823,0.333,0.25,0.172,0.123,1.897
"Malawi",0.617,0.41,0.349,0.571,0.135,0.136,1.203
"Malaysia",1.646,1.143,0.54,0.829,0.226,0.119,1.473
"Mali",0.747,0.688,0.267,0.586,0.12,0.09,1.734
"Malta",1.827,1.444,0.707,0.727,0.25,0.125,1.267
"Mauritania",1.078,0.705,0.4,0.343,0.133,0.198,1.649
"Mauritius",1.57,1.358,0.49,0.641,0.123,0.118,1.517
"Mexico",1.521,1.241,0.544,0.722,0.086,0.127,2.437
"Moldova",1.385,1.277,0.542,0.695,0.077,0.044,1.795
"Mongolia",1.353,1.511,0.4,0.501,0.237,0.055,1.64
"Montenegro",1.571,1.318,0.587,0.632,0.11,0.132,1.357
"Morocco",1.213,0.471,0.495,0.631,0.042,0.082,1.861
"Mozambique",0.56,0.883,0.156,0.728,0.158,0.196,2.536
"Myanmar",0.978,0.988,0.436,0.45,0.401,0.174,0.928
"Namibia",1.266,1.212,0.307,0.47,0.069,0.061,1.446
"Nepal",0.965,0.99,0.443,0.653,0.209,0.115,1.783
"Netherlands",1.901,1.462,0.706,0.725,0.247,0.372,1.906
"New Zealand",1.81,1.527,0.673,0.746,0.226,0.48,1.567
"Nicaragua",1.097,1.263,0.542,0.793,0.133,0.251,2.203
"Niger",0.573,0.677,0.293,0.615,0.145,0.147,2.107
"Nigeria",1.042,1.075,0.256,0.566,0.201,0.019,1.722
"North Macedonia",1.475,1.277,0.569,0.58,0.194,0.015,1.26
"Norway",1.952,1.517,0.704,0.835,0.224,0.484,1.586
"Pakistan",1.069,0.6,0.321,0.542,0.144,0.074,1.907
"Panama",1.702,1.392,0.633,0.72,0.063,0.043,1.806
"Paraguay",1.398,1.408,0.549,0.788,0.131,0.065,1.637
"Peru",1.371,1.18,0.662,0.615,0.078,0.029,1.907
"Philippines",1.232,1.146,0.441,0.826,0.099,0.136,2.167
"Poland",1.738,1.417,0.639,0.6,0.081,0.175,1.791
"Portugal",1.728,1.368,0.699,0.757,0.047,0.035,1.397
"Romania",1.699,1.236,0.583,0.717,0.041,0.006,2.21
"Russia",1.642,1.351,0.531,0.551,0.138,0.121,1.451
"Saudi Arabia",1.842,1.361,0.511,0.787,0.114,0.188,1.79
"Senegal",0.927,0.751,0.392,0.607,0.152,0.069,2.071
"Serbia",1.538,1.391,0.585,0.663,0.2,0.101,1.932
"Sierra Leone",0.654,0.566,0.253,0.469,0.181,0.053,1.068
"Singapore",2.118,1.361,0.769,0.743,0.168,0.575,0.788
"Slovakia",1.706,1.54,0.638,0.566,0.096,0.058,1.653
"Slovenia",1.786,1.502,0.695,0.789,0.157,0.131,1.683
"South Africa",1.389,1.369,0.322,0.537,0.078,0.034,1.693
"South Korea",1.815,1.178,0.77,0.555,0.126,0.158,1.456
"Spain",1.766,1.471,0.729,0.619,0.119,0.177,1.54
"Sri Lanka",1.361,1.179,0.586,0.583,0.144,0.031,0.014
"State of Palestine",NA,NA,NA,NA,NA,NA,NA
"Sweden",1.878,1.501,0.724,0.838,0.221,0.524,1.658
"Switzerland",1.97,1.425,0.747,0.759,0.173,0.498,1.488
"Taiwan Province of China",1.842,1.346,0.65,0.649,0.068,0.202,1.747
"Tajikistan",NA,NA,NA,NA,NA,NA,NA
"Tanzania",0.82,0.706,0.38,0.709,0.191,0.257,0.717
"Thailand",1.484,1.347,0.62,0.756,0.283,0.024,1.463
"Togo",0.758,0.586,0.32,0.453,0.127,0.156,1.814
"Tunisia",1.306,0.955,0.579,0.254,0.024,0.018,1.285
"Turkiye",1.702,1.175,0.631,0.202,0.068,0.115,1.083
"Uganda",0.772,1.151,0.373,0.587,0.178,0.054,1.256
"Ukraine",1.35,1.315,0.513,0.631,0.285,0.025,0.753
"United Arab Emirates",1.983,1.164,0.563,0.815,0.209,0.258,1.741
"United Kingdom",1.822,1.326,0.672,0.713,0.267,0.351,1.598
"United States",1.939,1.392,0.542,0.586,0.223,0.169,1.873
"Uruguay",1.596,1.431,0.592,0.775,0.106,0.22,1.891
"Uzbekistan",1.212,1.394,0.539,0.835,0.251,0.215,1.749
"Venezuela",0,1.321,0.491,0.518,0.192,0.086,2.998
"Vietnam",1.331,1.267,0.539,0.843,0.094,0.16,1.81
"Yemen",0.671,1.281,0.293,0.362,0.08,0.113,0.76
"Zambia",0.899,0.809,0.264,0.727,0.168,0.109,0.526
"Zimbabwe",0.748,0.85,0.232,0.487,0.096,0.131,0.797
