"country","gdp","support","life_expectancy","freedom","generosity","corruption","residual"
"Georgia",1.03,0.47,0.498,0.488,0.032,0.181,2.191
"Germany",1.48,0.993,0.757,0.6,0.195,0.306,2.824
"Ghana",0.68,0.595,0.287,0.517,0.268,0.058,2.684
"Greece",1.273,0.811,0.76,0.243,0,0.074,2.561
"Guatemala",0.845,0.79,0.519,0.638,0.163,0.105,3.375
"Guinea",0.42,0.399,0.206,0.384,0.25,0.111,3.216
"Haiti",0.294,0.173,0.227,0.257,0.463,0.139,2.06
"Honduras",0.703,0.787,0.593,0.578,0.241,0.083,2.934
"Hong Kong S.A.R. of China",1.525,0.841,0.893,0.408,0.232,0.342,1.236
"Hungary",1.301,1.083,0.615,0.454,0.067,0.04,2.432
"Iceland",1.482,1.172,0.772,0.698,0.293,0.17,2.967
"India",0.741,0.316,0.383,0.622,0.246,0.106,1.405
"Indonesia",0.954,0.786,0.433,0.598,0.541,0.046,1.987
"Iran",1.03,0.557,0.561,0.275,0.33,0.144,1.823
"Iraq",0.91,0.638,0.381,0.302,0.153,0.041,2.429
"Ireland",1.644,1.092,0.753,0.606,0.238,0.367,2.384
"Israel",1.376,1.074,0.788,0.509,0.208,0.119,3.083
"Italy",1.393,0.94,0.798,0.379,0.133,0.047,2.794
"Ivory Coast",0.669,0.409,0.052,0.438,0.177,0.092,3.469
"Jamaica",0.891,0.932,0.599,0.618,0.099,0.035,3.135
"Japan",1.389,0.949,0.838,0.504,0.02,0.192,2.048
"Jordan",0.89,0.685,0.583,0.455,0.079,0.15,1.553
"Kazakhstan",1.23,1.103,0.527,0.573,0.143,0.132,2.446
"Kenya",0.603,0.508,0.385,0.483,0.375,0.073,2.18
"Kosovo",0.937,0.807,0.483,0.593,0.356,0.014,3.182
"Kuwait",1.461,0.857,0.58,0.591,0.12,0.13,2.368
"Kyrgyzstan",0.665,0.971,0.501,0.673,0.266,0.02,2.648
"Laos",0.808,0.598,0.33,0.643,0.268,0.179,2.204
"Latvia",1.285,1.047,0.587,0.405,0.082,0.089,2.536
"Lebanon",1.045,0.868,0.595,0.175,0.14,0.026,1.736
"Lesotho",0.451,0.731,0.007,0.405,0.103,0.015,1.8
"Liberia",0.228,0.58,0.253,0.43,0.221,0.057,2.857
"Libya",1.044,0.821,0.435,0.474,0.131,0.174,2.331
"Lithuania",1.35,1.065,0.612,0.476,0.056,0.073,2.624
"Luxembourg",1.751,1.003,0.76,0.639,0.166,0.353,2.653
"Madagascar",0.266,0.503,0.341,0.207,0.185,0.087,2.62
"Malawi",0.113,0.168,0.298,0.484,0.213,0.134,2.19
"Malaysia",1.259,0.797,0.587,0.624,0.27,0.064,1.784
"Maldives",1.115,1.015,0.697,0.575,0.204,0.073,1.52
"Mali",0.387,0.59,0.11,0.384,0.164,0.072,3.016
"Malta",1.411,1.055,0.747,0.664,0.275,0.183,2.268
"Mauritania",0.666,0.749,0.273,0.218,0.119,0.133,2.069
"Mauritius",1.178,0.996,0.574,0.59,0.153,0.096,2.462
"Mexico",1.126,0.83,0.634,0.585,0.092,0.089,2.961
"Moldova",0.985,0.888,0.542,0.536,0.137,0.013,2.665
"Mongolia",0.966,1.065,0.442,0.397,0.263,0.053,2.492
"Montenegro",1.155,0.891,0.637,0.397,0.166,0.081,2.254
"Morocco",0.792,0.219,0.558,0.477,0.034,0.088,2.749
"Mozambique",0.183,0.634,0.196,0.608,0.228,0.163,2.783
"Myanmar",0.666,0.713,0.341,0.601,0.52,0.178,1.407
"Namibia",0.882,0.801,0.262,0.411,0.091,0.059,2.068
"Nepal",0.519,0.702,0.496,0.488,0.287,0.135,2.642
"Netherlands",1.501,1.079,0.753,0.647,0.302,0.384,2.798
"New Zealand",1.4,1.094,0.785,0.665,0.276,0.445,2.612
"Nicaragua",0.693,0.904,0.604,0.553,0.201,0.176,2.841
"Niger",0.162,0.402,0.167,0.516,0.2,0.157,3.47
"Nigeria",0.663,0.625,0.051,0.433,0.212,0.039,2.736
"North Cyprus",1.377,0.806,0.801,0.503,0.196,0.2,1.653
"North Macedonia",1.068,0.772,0.535,0.45,0.212,0.022,2.042
"Norway",1.543,1.108,0.782,0.703,0.249,0.427,2.58
"Pakistan",0.637,0.423,0.322,0.418,0.252,0.097,2.784
"Palestinian Territories",0.646,0.819,0.434,0.33,0.082,0.075,2.131
"Panama",1.298,0.976,0.667,0.596,0.079,0.053,2.509
"Paraguay",0.983,0.97,0.549,0.602,0.206,0.037,2.306
"Peru",0.986,0.833,0.623,0.536,0.087,0.031,2.744
"Philippines",0.853,0.828,0.426,0.651,0.125,0.126,2.872
"Poland",1.309,0.982,0.668,0.558,0.08,0.13,2.438
"Portugal",1.323,0.939,0.76,0.621,0.029,0.033,2.225
"Romania",1.275,0.832,0.595,0.564,0.045,0.001,2.83
"Russia",1.241,0.992,0.511,0.409,0.115,0.06,2.148
"Rwanda",0.364,0.202,0.407,0.627,0.227,0.493,1.095
"Saudi Arabia",1.435,0.964,0.571,0.603,0.09,0.163,2.668
"Senegal",0.518,0.558,0.357,0.381,0.158,0.088,3.071
"Serbia",1.101,0.924,0.634,0.482,0.189,0.066,2.682
"Sierra Leone",0.279,0.377,0.1,0.408,0.243,0.047,2.396
"Singapore",1.695,1.019,0.897,0.664,0.176,0.547,1.379
"Slovakia",1.304,1.066,0.653,0.468,0.107,0.018,2.714
"Slovenia",1.36,1.093,0.722,0.69,0.122,0.085,2.388
"South Africa",0.967,0.895,0.265,0.447,0.144,0.051,2.187
"South Korea",1.403,0.758,0.801,0.353,0.134,0.135,2.262
"Spain",1.375,1.057,0.826,0.462,0.135,0.124,2.513
"Sri Lanka",0.99,0.82,0.593,0.559,0.239,0.049,1.075
"Swaziland",0.849,0.693,0.074,0.323,0.067,0.147,2.155
"Sweden",1.478,1.062,0.763,0.685,0.244,0.448,2.683
"Switzerland",1.566,1.079,0.816,0.653,0.204,0.413,2.839
"Taiwan Province of China",1.48,0.982,0.665,0.49,0.142,0.139,2.687
"Tajikistan",0.508,0.895,0.498,0.548,0.152,0.247,2.619
"Tanzania",0.433,0.54,0.3,0.549,0.307,0.231,1.263
"Thailand",1.107,0.957,0.596,0.611,0.375,0.028,2.309
"Togo",0.254,0.239,0.203,0.289,0.209,0.107,2.806
"Tunisia",0.919,0.515,0.59,0.334,0.057,0.044,2.138
"Turkey",1.26,0.809,0.59,0.236,0.097,0.104,1.852
"Turkmenistan",1.046,1.172,0.439,0.602,0.366,0.033,1.409
"Uganda",0.364,0.718,0.24,0.398,0.267,0.054,2.596
"Ukraine",0.979,0.958,0.517,0.417,0.181,0.01,1.813
"United Arab Emirates",1.555,0.86,0.594,0.67,0.236,0.223,2.422
"United Kingdom",1.423,1.062,0.757,0.58,0.34,0.306,2.596
"United States",1.533,1.03,0.621,0.554,0.252,0.154,2.807
"Uruguay",1.164,1.042,0.649,0.625,0.128,0.223,2.6
"Uzbekistan",0.769,1.027,0.528,0.716,0.391,0.271,2.477
"Venezuela",0.852,0.897,0.574,0.284,0.078,0.072,2.135
"Vietnam",0.817,0.873,0.616,0.679,0.124,0.091,2.211
"Yemen",0.329,0.831,0.272,0.268,0.092,0.089,1.776
"Zambia",0.528,0.552,0.231,0.487,0.227,0.074,1.975
"Zimbabwe",0.457,0.649,0.243,0.359,0.157,0.075,1.205
