"country","gdp","support","life_expectancy","freedom","generosity","corruption","residual"
"Ecuador",1.352,0.879,0.708,0.565,0.08,0.083,1.866
"Egypt",1.388,0.732,0.548,0.469,0.041,0.254,0.856
"El Salvador",1.265,0.768,0.607,0.666,0.089,0.212,2.514
"Estonia",1.793,1.232,0.728,0.689,0.123,0.333,1.442
"Eswatini, Kingdom of",1.274,0.786,0.197,0.259,0.038,0.154,1.688
"Ethiopia",0.788,0.809,0.457,0.472,0.205,0.136,1.375
"Finland",1.892,1.258,0.775,0.736,0.109,0.534,2.518
"France",1.863,1.219,0.808,0.567,0.07,0.266,1.895
"Gabon",1.459,0.738,0.396,0.343,0.032,0.099,1.892
"Gambia",0.785,0.621,0.369,0.367,0.388,0.103,2.531
"Georgia",1.467,0.612,0.595,0.508,0,0.208,1.583
"Germany",1.924,1.088,0.776,0.585,0.163,0.358,2.142
"Ghana",1.112,0.595,0.409,0.5,0.23,0.056,1.972
"Greece",1.703,0.98,0.774,0.249,0.015,0.108,2.119
"Guatemala",1.274,0.831,0.522,0.662,0.112,0.115,2.746
"Guinea",0.848,0.566,0.275,0.334,0.214,0.116,2.538
"Honduras",1.111,0.885,0.555,0.582,0.202,0.076,2.611
"Hong Kong S.A.R. of China",1.957,0.954,0.942,0.4,0.147,0.383,0.642
"Hungary",1.748,1.233,0.668,0.485,0.078,0.064,1.812
"Iceland",1.936,1.32,0.803,0.718,0.27,0.191,2.32
"India",1.167,0.376,0.471,0.647,0.198,0.123,0.795
"Indonesia",1.382,0.883,0.539,0.62,0.468,0.047,1.3
"Iran",1.41,0.741,0.642,0.281,0.241,0.146,1.427
"Iraq",1.289,0.682,0.554,0.328,0.147,0.046,1.894
"Ireland",2.129,1.166,0.779,0.627,0.19,0.408,1.743
"Israel",1.826,1.221,0.818,0.568,0.155,0.143,2.634
"Italy",1.834,1.052,0.801,0.412,0.085,0.059,2.222
"Ivory Coast",1.094,0.442,0.322,0.451,0.149,0.124,2.652
"Jamaica",1.296,1.045,0.646,0.567,0.08,0.053,2.164
"Japan",1.835,1.089,0.866,0.537,0.007,0.218,1.487
"Jordan",1.324,0.724,0.675,0.476,0.058,0.2,0.695
"Kazakhstan",1.668,1.22,0.611,0.584,0.134,0.157,1.86
"Kenya",1.032,0.605,0.401,0.44,0.322,0.082,1.661
"Kosovo",1.362,0.949,0.569,0.599,0.309,0.035,2.631
"Kuwait",1.904,0.983,0.747,0.617,0.087,0.147,1.621
"Kyrgyzstan",1.069,1.109,0.638,0.693,0.208,0.025,2.087
"Laos",1.239,0.654,0.479,0.679,0.197,0.184,1.709
"Latvia",1.732,1.221,0.637,0.502,0.075,0.09,1.923
"Lebanon",1.392,0.498,0.631,0.103,0.082,0.034,0.216
"Lesotho",0.839,0.848,0,0.419,0.076,0.018,1.312
"Liberia",0.636,0.67,0.309,0.405,0.178,0.08,2.844
"Libya",1.476,0.943,0.606,0.477,0.106,0.179,1.544
"Lithuania",1.804,1.204,0.659,0.496,0.053,0.077,2.153
"Luxembourg",2.209,1.155,0.79,0.7,0.12,0.388,2.042
"Madagascar",0.67,0.645,0.378,0.202,0.143,0.154,2.148
"Malawi",0.648,0.279,0.388,0.477,0.14,0.157,1.661
"Malaysia",1.689,0.938,0.62,0.654,0.213,0.126,1.471
"Mali",0.792,0.483,0.311,0.35,0.128,0.042,2.373
"Malta",1.838,1.169,0.789,0.679,0.174,0.166,1.631
"Mauritania",1.1,0.865,0.45,0.304,0.088,0.138,1.207
"Mauritius",1.591,1.116,0.568,0.589,0.131,0.107,1.969
"Mexico",1.552,0.886,0.623,0.621,0.092,0.115,2.239
"Moldova",1.417,1.008,0.597,0.561,0.102,0.028,2.142
"Mongolia",1.393,1.197,0.467,0.398,0.247,0.059,1.999
"Montenegro",1.573,1.023,0.659,0.46,0.135,0.077,1.619
"Morocco",1.208,0.268,0.565,0.492,0.02,0.102,2.405
"Mozambique",0.578,0.66,0.191,0.593,0.185,0.2,2.641
"Myanmar",1.038,0.829,0.491,0.513,0.452,0.194,0.877
"Namibia",1.292,0.877,0.354,0.384,0.067,0.071,1.414
"Nepal",0.984,0.784,0.499,0.519,0.237,0.13,2.224
"Netherlands",1.945,1.206,0.787,0.651,0.271,0.419,2.137
"New Zealand",1.852,1.235,0.752,0.68,0.245,0.483,1.954
"Nicaragua",1.105,1.029,0.617,0.617,0.168,0.212,2.418
"Niger",0.57,0.56,0.326,0.571,0.165,0.145,2.667
"Nigeria",1.079,0.732,0.3,0.444,0.175,0.038,1.784
"North Cyprus",1.815,0.888,0.819,0.523,0.13,0.213,1.078
"North Macedonia",1.505,0.863,0.637,0.488,0.215,0.031,1.461
"Norway",1.997,1.239,0.786,0.728,0.217,0.474,1.925
"Pakistan",1.049,0.413,0.374,0.448,0.181,0.112,1.94
"Palestinian Territories",1.148,0.957,0.521,0.336,0.073,0.079,1.368
"Panama",1.715,1.107,0.709,0.592,0.049,0.051,2.086
"Paraguay",1.409,1.13,0.624,0.629,0.171,0.059,1.555
"Peru",1.397,0.865,0.735,0.545,0.09,0.037,1.89
"Philippines",1.268,0.912,0.514,0.678,0.107,0.142,2.283
"Poland",1.758,1.174,0.712,0.523,0.124,0.14,1.693
"Portugal",1.76,1.078,0.777,0.655,0.016,0.039,1.691
"Romania",1.719,1.006,0.655,0.605,0.039,0.006,2.446
"Russia",1.685,1.095,0.586,0.401,0.117,0.08,1.494
"Rwanda",0.785,0.133,0.462,0.621,0.187,0.544,0.536
"Saudi Arabia",1.87,1.092,0.577,0.651,0.078,0.18,2.075
"Senegal",0.933,0.53,0.447,0.494,0.143,0.081,2.419
"Serbia",1.55,1.086,0.658,0.546,0.219,0.088,2.031
"Sierra Leone",0.686,0.416,0.273,0.387,0.202,0.055,1.556
"Singapore",2.149,1.127,0.851,0.672,0.163,0.587,0.932
"Slovakia",1.736,1.232,0.707,0.479,0.118,0.025,2.094
"Slovenia",1.81,1.249,0.769,0.685,0.118,0.115,1.885
"South Africa",1.425,1.088,0.361,0.442,0.089,0.046,1.742
"South Korea",1.851,0.886,0.841,0.414,0.111,0.176,1.656
"Spain",1.808,1.211,0.808,0.505,0.101,0.149,1.893
"Sri Lanka",1.415,0.934,0.66,0.529,0.15,0.079,0.595
"Sweden",1.92,1.204,0.803,0.724,0.218,0.512,2.003
"Switzerland",2.026,1.226,0.822,0.677,0.147,0.461,2.153
"Taiwan Province of China",1.897,1.095,0.733,0.542,0.075,0.168,2.002
"Tajikistan",0.966,1.005,0.518,0.572,0.118,0.304,1.895
"Tanzania",0.848,0.597,0.425,0.578,0.248,0.27,0.735
"Thailand",1.535,1.096,0.697,0.617,0.321,0.026,1.6
"Togo",0.771,0.322,0.36,0.292,0.174,0.132,2.061
"Tunisia",1.35,0.596,0.656,0.316,0.029,0.029,1.54
"Turkey",1.707,0.865,0.702,0.209,0.087,0.115,1.059
"Turkmenistan",1.484,1.319,0.516,0.649,0.314,0.032,1.16
"Uganda",0.777,0.875,0.418,0.402,0.222,0.066,1.842
"Ukraine",1.411,1.081,0.583,0.473,0.188,0.017,1.331
"United Arab Emirates",1.998,0.98,0.633,0.702,0.204,0.25,1.809
"United Kingdom",1.867,1.143,0.75,0.597,0.289,0.329,1.967
"United States",1.982,1.182,0.628,0.574,0.22,0.177,2.214
"Uruguay",1.615,1.18,0.672,0.665,0.103,0.265,1.974
"Uzbekistan",1.219,1.092,0.6,0.716,0.283,0.24,1.913
"Venezuela",0,0.968,0.578,0.283,0.225,0.082,2.79
"Vietnam",1.252,0.932,0.611,0.707,0.143,0.105,1.735
"Yemen",0.691,1.043,0.384,0.33,0.09,0.098,1.561
"Zambia",0.93,0.577,0.306,0.525,0.203,0.083,1.135
"Zimbabwe",0.947,0.69,0.27,0.329,0.106,0.105,0.548
"xx",NA,NA,NA,NA,NA,NA,NA
