"year","month","day","mode","route","peak","numerator","denominator"
2023,1,1,"Bus","97","OFF_PEAK",76,88
2023,1,1,"Bus","99","OFF_PEAK",142,173
2023,1,2,"Bus","1","OFF_PEAK",1064,1409
2023,1,2,"Bus","10","OFF_PEAK",253,396
2023,1,2,"Bus","100","OFF_PEAK",124,170
2023,1,2,"Bus","101","OFF_PEAK",211,265
2023,1,2,"Bus","104","OFF_PEAK",287,431
2023,1,2,"Bus","105","OFF_PEAK",80,94
2023,1,2,"Bus","106","OFF_PEAK",167,206
2023,1,2,"Bus","108","OFF_PEAK",115,131
2023,1,2,"Bus","109","OFF_PEAK",315,436
2023,1,2,"Bus","11","OFF_PEAK",142,277
2023,1,2,"Bus","110","OFF_PEAK",280,370
2023,1,2,"Bus","111","OFF_PEAK",1755,2125
2023,1,2,"Bus","112","OFF_PEAK",140,167
2023,1,2,"Bus","116","OFF_PEAK",324,424
2023,1,2,"Bus","117","OFF_PEAK",399,521
2023,1,2,"Bus","119","OFF_PEAK",88,120
2023,1,2,"Bus","120","OFF_PEAK",139,227
2023,1,2,"Bus","134","OFF_PEAK",146,235
2023,1,2,"Bus","137","OFF_PEAK",4,104
2023,1,2,"Bus","15","OFF_PEAK",816,1081
2023,1,2,"Bus","16","OFF_PEAK",397,556
2023,1,2,"Bus","17","OFF_PEAK",87,159
2023,1,2,"Bus","171","OFF_PEAK",0,7
2023,1,2,"Bus","191","OFF_PEAK",11,11
2023,1,2,"Bus","194","OFF_PEAK",6,16
2023,1,2,"Bus","201","OFF_PEAK",115,149
2023,1,2,"Bus","21","OFF_PEAK",121,160
2023,1,2,"Bus","211","OFF_PEAK",38,77
2023,1,2,"Bus","215","OFF_PEAK",170,268
2023,1,2,"Bus","216","OFF_PEAK",204,284
2023,1,2,"Bus","22","OFF_PEAK",759,927
2023,1,2,"Bus","220","OFF_PEAK",197,235
2023,1,2,"Bus","222","OFF_PEAK",144,203
2023,1,2,"Bus","225","OFF_PEAK",185,231
2023,1,2,"Bus","23","OFF_PEAK",1157,1423
2023,1,2,"Bus","230","OFF_PEAK",169,238
2023,1,2,"Bus","236","OFF_PEAK",94,158
2023,1,2,"Bus","238","OFF_PEAK",124,230
2023,1,2,"Bus","24","OFF_PEAK",67,187
2023,1,2,"Bus","240","OFF_PEAK",201,277
2023,1,2,"Bus","26","OFF_PEAK",77,91
2023,1,2,"Bus","28","OFF_PEAK",1263,1609
2023,1,2,"Bus","30","OFF_PEAK",94,140
2023,1,2,"Bus","31","OFF_PEAK",453,538
2023,1,2,"Bus","32","OFF_PEAK",659,810
2023,1,2,"Bus","34","OFF_PEAK",238,380
2023,1,2,"Bus","34E","OFF_PEAK",464,724
2023,1,2,"Bus","35","OFF_PEAK",128,185
2023,1,2,"Bus","350","OFF_PEAK",260,333
2023,1,2,"Bus","36","OFF_PEAK",309,436
2023,1,2,"Bus","39","OFF_PEAK",771,1074
2023,1,2,"Bus","40","OFF_PEAK",61,80
2023,1,2,"Bus","41","OFF_PEAK",135,213
2023,1,2,"Bus","42","OFF_PEAK",133,159
2023,1,2,"Bus","426","OFF_PEAK",230,322
2023,1,2,"Bus","429","OFF_PEAK",84,124
2023,1,2,"Bus","43","OFF_PEAK",283,309
2023,1,2,"Bus","435","OFF_PEAK",59,75
2023,1,2,"Bus","44","OFF_PEAK",171,335
2023,1,2,"Bus","441","OFF_PEAK",92,130
2023,1,2,"Bus","442","OFF_PEAK",165,221
2023,1,2,"Bus","45","OFF_PEAK",228,303
2023,1,2,"Bus","450","OFF_PEAK",185,283
2023,1,2,"Bus","455","OFF_PEAK",254,322
2023,1,2,"Bus","47","OFF_PEAK",239,356
2023,1,2,"Bus","55","OFF_PEAK",23,54
2023,1,2,"Bus","57","OFF_PEAK",906,1154
2023,1,2,"Bus","59","OFF_PEAK",77,112
2023,1,2,"Bus","60","OFF_PEAK",160,243
2023,1,2,"Bus","64","OFF_PEAK",78,97
2023,1,2,"Bus","66","OFF_PEAK",940,1277
2023,1,2,"Bus","69","OFF_PEAK",195,227
2023,1,2,"Bus","70","OFF_PEAK",387,603
2023,1,2,"Bus","71","OFF_PEAK",512,619
2023,1,2,"Bus","73","OFF_PEAK",551,636
2023,1,2,"Bus","741","OFF_PEAK",1428,1713
2023,1,2,"Bus","742","OFF_PEAK",178,225
2023,1,2,"Bus","743","OFF_PEAK",780,1031
2023,1,2,"Bus","746","OFF_PEAK",24,33
2023,1,2,"Bus","749","OFF_PEAK",774,899
2023,1,2,"Bus","75","OFF_PEAK",210,276
2023,1,2,"Bus","751","OFF_PEAK",500,580
2023,1,2,"Bus","77","OFF_PEAK",879,1093
2023,1,2,"Bus","78","OFF_PEAK",181,294
2023,1,2,"Bus","8","OFF_PEAK",277,470
2023,1,2,"Bus","80","OFF_PEAK",137,205
2023,1,2,"Bus","83","OFF_PEAK",174,204
2023,1,2,"Bus","86","OFF_PEAK",294,364
2023,1,2,"Bus","87","OFF_PEAK",244,349
2023,1,2,"Bus","88","OFF_PEAK",285,362
2023,1,2,"Bus","89","OFF_PEAK",174,206
2023,1,2,"Bus","9","OFF_PEAK",302,420
2023,1,2,"Bus","90","OFF_PEAK",49,60
2023,1,2,"Bus","91","OFF_PEAK",164,196
2023,1,2,"Bus","93","OFF_PEAK",131,156
2023,1,2,"Bus","94","OFF_PEAK",164,214
2023,1,2,"Bus","95","OFF_PEAK",135,159
2023,1,2,"Bus","96","OFF_PEAK",264,316
2023,1,2,"Bus","97","OFF_PEAK",31,89
2023,1,2,"Bus","99","OFF_PEAK",129,174
2023,1,3,"Bus","1","OFF_PEAK",1088,1373
2023,1,3,"Bus","1","PEAK",270,336
2023,1,3,"Bus","10","OFF_PEAK",334,456
2023,1,3,"Bus","10","PEAK",110,189
2023,1,3,"Bus","100","OFF_PEAK",249,282
2023,1,3,"Bus","100","PEAK",99,120
2023,1,3,"Bus","101","OFF_PEAK",409,518
2023,1,3,"Bus","101","PEAK",152,197
2023,1,3,"Bus","104","OFF_PEAK",399,500
2023,1,3,"Bus","104","PEAK",117,155
2023,1,3,"Bus","105","OFF_PEAK",71,83
2023,1,3,"Bus","105","PEAK",37,59
2023,1,3,"Bus","106","OFF_PEAK",230,315
2023,1,3,"Bus","106","PEAK",84,124
2023,1,3,"Bus","108","OFF_PEAK",221,295
2023,1,3,"Bus","108","PEAK",95,131
2023,1,3,"Bus","109","OFF_PEAK",444,538
2023,1,3,"Bus","109","PEAK",135,166
2023,1,3,"Bus","11","OFF_PEAK",354,484
2023,1,3,"Bus","11","PEAK",188,253
2023,1,3,"Bus","110","OFF_PEAK",342,437
2023,1,3,"Bus","110","PEAK",182,247
2023,1,3,"Bus","111","OFF_PEAK",2488,2892
2023,1,3,"Bus","111","PEAK",790,921
2023,1,3,"Bus","112","OFF_PEAK",86,168
2023,1,3,"Bus","112","PEAK",44,76
2023,1,3,"Bus","114","OFF_PEAK",53,66
2023,1,3,"Bus","114","PEAK",0,5
2023,1,3,"Bus","116","OFF_PEAK",398,511
2023,1,3,"Bus","116","PEAK",141,173
2023,1,3,"Bus","117","OFF_PEAK",496,620
2023,1,3,"Bus","117","PEAK",152,198
2023,1,3,"Bus","119","OFF_PEAK",119,161
2023,1,3,"Bus","119","PEAK",47,66
2023,1,3,"Bus","120","OFF_PEAK",222,287
2023,1,3,"Bus","120","PEAK",83,110
2023,1,3,"Bus","121","OFF_PEAK",19,21
2023,1,3,"Bus","121","PEAK",42,58
2023,1,3,"Bus","131","OFF_PEAK",38,50
2023,1,3,"Bus","131","PEAK",80,105
2023,1,3,"Bus","132","OFF_PEAK",104,147
2023,1,3,"Bus","132","PEAK",40,61
2023,1,3,"Bus","134","OFF_PEAK",203,309
2023,1,3,"Bus","134","PEAK",88,124
2023,1,3,"Bus","137","OFF_PEAK",233,367
2023,1,3,"Bus","137","PEAK",114,174
2023,1,3,"Bus","14","OFF_PEAK",90,180
2023,1,3,"Bus","14","PEAK",39,106
2023,1,3,"Bus","15","OFF_PEAK",750,913
2023,1,3,"Bus","15","PEAK",260,303
2023,1,3,"Bus","16","OFF_PEAK",660,899
2023,1,3,"Bus","16","PEAK",193,315
2023,1,3,"Bus","17","OFF_PEAK",249,291
2023,1,3,"Bus","17","PEAK",109,137
2023,1,3,"Bus","171","OFF_PEAK",6,8
2023,1,3,"Bus","18","OFF_PEAK",38,50
2023,1,3,"Bus","18","PEAK",15,27
2023,1,3,"Bus","19","OFF_PEAK",271,366
2023,1,3,"Bus","19","PEAK",190,255
2023,1,3,"Bus","191","OFF_PEAK",21,22
2023,1,3,"Bus","192","OFF_PEAK",13,18
2023,1,3,"Bus","193","OFF_PEAK",17,18
2023,1,3,"Bus","194","OFF_PEAK",4,8
2023,1,3,"Bus","201","OFF_PEAK",140,187
2023,1,3,"Bus","201","PEAK",37,59
2023,1,3,"Bus","202","OFF_PEAK",22,25
2023,1,3,"Bus","202","PEAK",31,38
2023,1,3,"Bus","21","OFF_PEAK",438,517
2023,1,3,"Bus","21","PEAK",240,270
2023,1,3,"Bus","210","OFF_PEAK",99,148
2023,1,3,"Bus","210","PEAK",90,132
2023,1,3,"Bus","211","OFF_PEAK",84,139
2023,1,3,"Bus","211","PEAK",58,75
2023,1,3,"Bus","215","OFF_PEAK",291,371
2023,1,3,"Bus","215","PEAK",117,169
2023,1,3,"Bus","216","OFF_PEAK",295,405
2023,1,3,"Bus","216","PEAK",199,238
2023,1,3,"Bus","217","OFF_PEAK",22,39
2023,1,3,"Bus","217","PEAK",16,33
2023,1,3,"Bus","22","OFF_PEAK",948,1186
2023,1,3,"Bus","22","PEAK",283,376
2023,1,3,"Bus","220","OFF_PEAK",246,308
2023,1,3,"Bus","220","PEAK",102,147
2023,1,3,"Bus","222","OFF_PEAK",183,289
2023,1,3,"Bus","222","PEAK",59,89
2023,1,3,"Bus","225","OFF_PEAK",316,449
2023,1,3,"Bus","225","PEAK",173,250
2023,1,3,"Bus","23","OFF_PEAK",1170,1464
2023,1,3,"Bus","23","PEAK",305,408
2023,1,3,"Bus","230","OFF_PEAK",227,353
2023,1,3,"Bus","230","PEAK",113,170
2023,1,3,"Bus","236","OFF_PEAK",95,143
2023,1,3,"Bus","236","PEAK",32,54
2023,1,3,"Bus","238","OFF_PEAK",190,314
2023,1,3,"Bus","238","PEAK",80,129
2023,1,3,"Bus","24","OFF_PEAK",282,373
2023,1,3,"Bus","24","PEAK",123,157
2023,1,3,"Bus","240","OFF_PEAK",389,576
2023,1,3,"Bus","240","PEAK",124,227
2023,1,3,"Bus","245","OFF_PEAK",15,21
2023,1,3,"Bus","245","PEAK",38,46
2023,1,3,"Bus","26","OFF_PEAK",125,186
2023,1,3,"Bus","26","PEAK",30,58
2023,1,3,"Bus","28","OFF_PEAK",1183,1564
2023,1,3,"Bus","28","PEAK",338,444
2023,1,3,"Bus","29","OFF_PEAK",253,346
2023,1,3,"Bus","29","PEAK",106,147
2023,1,3,"Bus","30","OFF_PEAK",217,251
2023,1,3,"Bus","30","PEAK",81,107
2023,1,3,"Bus","31","OFF_PEAK",507,614
2023,1,3,"Bus","31","PEAK",127,141
2023,1,3,"Bus","32","OFF_PEAK",792,917
2023,1,3,"Bus","32","PEAK",238,268
2023,1,3,"Bus","33","OFF_PEAK",97,129
2023,1,3,"Bus","33","PEAK",62,74
2023,1,3,"Bus","34","OFF_PEAK",421,533
2023,1,3,"Bus","34","PEAK",180,227
2023,1,3,"Bus","34E","OFF_PEAK",550,806
2023,1,3,"Bus","34E","PEAK",204,339
2023,1,3,"Bus","35","OFF_PEAK",218,283
2023,1,3,"Bus","35","PEAK",137,169
2023,1,3,"Bus","350","OFF_PEAK",277,454
2023,1,3,"Bus","350","PEAK",188,273
2023,1,3,"Bus","351","OFF_PEAK",14,21
2023,1,3,"Bus","351","PEAK",27,47
2023,1,3,"Bus","354","OFF_PEAK",74,96
2023,1,3,"Bus","354","PEAK",93,145
2023,1,3,"Bus","36","OFF_PEAK",388,452
2023,1,3,"Bus","36","PEAK",193,227
2023,1,3,"Bus","37","OFF_PEAK",173,194
2023,1,3,"Bus","37","PEAK",104,118
2023,1,3,"Bus","38","OFF_PEAK",190,224
2023,1,3,"Bus","38","PEAK",114,122
2023,1,3,"Bus","39","OFF_PEAK",743,920
2023,1,3,"Bus","39","PEAK",345,429
2023,1,3,"Bus","4","OFF_PEAK",27,38
2023,1,3,"Bus","4","PEAK",39,68
2023,1,3,"Bus","40","OFF_PEAK",150,192
2023,1,3,"Bus","40","PEAK",76,97
2023,1,3,"Bus","41","OFF_PEAK",244,336
2023,1,3,"Bus","41","PEAK",70,133
2023,1,3,"Bus","411","OFF_PEAK",97,169
2023,1,3,"Bus","411","PEAK",25,79
2023,1,3,"Bus","42","OFF_PEAK",237,307
2023,1,3,"Bus","42","PEAK",69,86
2023,1,3,"Bus","424","OFF_PEAK",15,23
2023,1,3,"Bus","424","PEAK",10,36
2023,1,3,"Bus","426","OFF_PEAK",183,255
2023,1,3,"Bus","426","PEAK",75,114
2023,1,3,"Bus","428","OFF_PEAK",4,9
2023,1,3,"Bus","428","PEAK",6,20
2023,1,3,"Bus","429","OFF_PEAK",105,192
2023,1,3,"Bus","429","PEAK",47,80
2023,1,3,"Bus","43","OFF_PEAK",208,235
2023,1,3,"Bus","43","PEAK",51,65
2023,1,3,"Bus","430","OFF_PEAK",99,173
2023,1,3,"Bus","430","PEAK",33,102
2023,1,3,"Bus","435","OFF_PEAK",130,189
2023,1,3,"Bus","435","PEAK",41,65
2023,1,3,"Bus","436","OFF_PEAK",97,135
2023,1,3,"Bus","436","PEAK",43,75
2023,1,3,"Bus","439","OFF_PEAK",12,17
2023,1,3,"Bus","439","PEAK",10,20
2023,1,3,"Bus","44","OFF_PEAK",376,549
2023,1,3,"Bus","44","PEAK",114,163
2023,1,3,"Bus","441","OFF_PEAK",80,120
2023,1,3,"Bus","441","PEAK",41,60
2023,1,3,"Bus","442","OFF_PEAK",246,322
2023,1,3,"Bus","442","PEAK",71,120
2023,1,3,"Bus","45","OFF_PEAK",434,548
2023,1,3,"Bus","45","PEAK",214,257
2023,1,3,"Bus","450","OFF_PEAK",216,407
2023,1,3,"Bus","450","PEAK",86,156
2023,1,3,"Bus","451","OFF_PEAK",16,32
2023,1,3,"Bus","451","PEAK",16,36
2023,1,3,"Bus","455","OFF_PEAK",311,457
2023,1,3,"Bus","455","PEAK",111,169
2023,1,3,"Bus","456","OFF_PEAK",43,56
2023,1,3,"Bus","456","PEAK",0,3
2023,1,3,"Bus","47","OFF_PEAK",418,575
2023,1,3,"Bus","47","PEAK",162,226
2023,1,3,"Bus","50","OFF_PEAK",103,133
2023,1,3,"Bus","50","PEAK",64,91
2023,1,3,"Bus","501","OFF_PEAK",92,112
2023,1,3,"Bus","501","PEAK",157,195
2023,1,3,"Bus","504","OFF_PEAK",173,231
2023,1,3,"Bus","504","PEAK",107,156
2023,1,3,"Bus","505","OFF_PEAK",73,102
2023,1,3,"Bus","505","PEAK",88,153
2023,1,3,"Bus","51","OFF_PEAK",186,246
2023,1,3,"Bus","51","PEAK",86,129
2023,1,3,"Bus","52","OFF_PEAK",64,150
2023,1,3,"Bus","52","PEAK",75,111
2023,1,3,"Bus","55","OFF_PEAK",37,49
2023,1,3,"Bus","553","OFF_PEAK",56,90
2023,1,3,"Bus","553","PEAK",17,37
2023,1,3,"Bus","554","OFF_PEAK",18,24
2023,1,3,"Bus","554","PEAK",17,21
2023,1,3,"Bus","556","OFF_PEAK",8,17
2023,1,3,"Bus","556","PEAK",16,25
2023,1,3,"Bus","558","OFF_PEAK",14,20
2023,1,3,"Bus","558","PEAK",12,22
2023,1,3,"Bus","57","OFF_PEAK",1019,1282
2023,1,3,"Bus","57","PEAK",411,494
2023,1,3,"Bus","59","OFF_PEAK",148,181
2023,1,3,"Bus","59","PEAK",63,99
2023,1,3,"Bus","60","OFF_PEAK",285,395
2023,1,3,"Bus","60","PEAK",111,159
2023,1,3,"Bus","62","OFF_PEAK",200,278
2023,1,3,"Bus","62","PEAK",67,114
2023,1,3,"Bus","64","OFF_PEAK",146,171
2023,1,3,"Bus","64","PEAK",81,96
2023,1,3,"Bus","65","OFF_PEAK",165,248
2023,1,3,"Bus","65","PEAK",224,298
2023,1,3,"Bus","66","OFF_PEAK",1273,1606
2023,1,3,"Bus","66","PEAK",362,479
2023,1,3,"Bus","67","OFF_PEAK",93,118
2023,1,3,"Bus","67","PEAK",48,73
2023,1,3,"Bus","68","OFF_PEAK",59,68
2023,1,3,"Bus","68","PEAK",29,34
2023,1,3,"Bus","69","OFF_PEAK",216,283
2023,1,3,"Bus","69","PEAK",102,114
2023,1,3,"Bus","7","OFF_PEAK",269,334
2023,1,3,"Bus","7","PEAK",281,318
2023,1,3,"Bus","70","OFF_PEAK",574,796
2023,1,3,"Bus","70","PEAK",212,318
2023,1,3,"Bus","708","OFF_PEAK",202,227
2023,1,3,"Bus","708","PEAK",176,193
2023,1,3,"Bus","71","OFF_PEAK",533,638
2023,1,3,"Bus","71","PEAK",170,210
2023,1,3,"Bus","73","OFF_PEAK",507,583
2023,1,3,"Bus","73","PEAK",136,147
2023,1,3,"Bus","74","OFF_PEAK",314,353
2023,1,3,"Bus","74","PEAK",81,102
2023,1,3,"Bus","741","OFF_PEAK",580,704
2023,1,3,"Bus","741","PEAK",184,232
2023,1,3,"Bus","742","OFF_PEAK",251,293
2023,1,3,"Bus","742","PEAK",136,167
2023,1,3,"Bus","743","OFF_PEAK",923,1133
2023,1,3,"Bus","743","PEAK",366,427
2023,1,3,"Bus","746","OFF_PEAK",52,70
2023,1,3,"Bus","746","PEAK",10,30
2023,1,3,"Bus","747","OFF_PEAK",223,325
2023,1,3,"Bus","747","PEAK",155,226
2023,1,3,"Bus","749","OFF_PEAK",684,814
2023,1,3,"Bus","749","PEAK",265,290
2023,1,3,"Bus","75","OFF_PEAK",280,312
2023,1,3,"Bus","75","PEAK",119,148
2023,1,3,"Bus","751","OFF_PEAK",351,421
2023,1,3,"Bus","751","PEAK",145,168
2023,1,3,"Bus","76","OFF_PEAK",51,66
2023,1,3,"Bus","76","PEAK",50,96
2023,1,3,"Bus","77","OFF_PEAK",803,972
2023,1,3,"Bus","77","PEAK",263,316
2023,1,3,"Bus","78","OFF_PEAK",294,399
2023,1,3,"Bus","78","PEAK",126,150
2023,1,3,"Bus","8","OFF_PEAK",426,574
2023,1,3,"Bus","8","PEAK",160,218
2023,1,3,"Bus","80","OFF_PEAK",263,329
2023,1,3,"Bus","80","PEAK",94,125
2023,1,3,"Bus","83","OFF_PEAK",254,296
2023,1,3,"Bus","83","PEAK",109,116
2023,1,3,"Bus","85","OFF_PEAK",34,45
2023,1,3,"Bus","85","PEAK",30,35
2023,1,3,"Bus","86","OFF_PEAK",352,455
2023,1,3,"Bus","86","PEAK",176,228
2023,1,3,"Bus","87","OFF_PEAK",394,558
2023,1,3,"Bus","87","PEAK",164,220
2023,1,3,"Bus","88","OFF_PEAK",405,508
2023,1,3,"Bus","88","PEAK",156,187
2023,1,3,"Bus","89","OFF_PEAK",326,385
2023,1,3,"Bus","89","PEAK",167,211
2023,1,3,"Bus","9","OFF_PEAK",509,635
2023,1,3,"Bus","9","PEAK",275,361
2023,1,3,"Bus","90","OFF_PEAK",57,88
2023,1,3,"Bus","90","PEAK",44,54
2023,1,3,"Bus","91","OFF_PEAK",131,167
2023,1,3,"Bus","91","PEAK",54,72
2023,1,3,"Bus","92","OFF_PEAK",154,187
2023,1,3,"Bus","92","PEAK",71,89
2023,1,3,"Bus","93","OFF_PEAK",194,284
2023,1,3,"Bus","93","PEAK",94,127
2023,1,3,"Bus","94","OFF_PEAK",191,233
2023,1,3,"Bus","94","PEAK",74,104
2023,1,3,"Bus","95","OFF_PEAK",183,258
2023,1,3,"Bus","95","PEAK",80,105
2023,1,3,"Bus","96","OFF_PEAK",292,336
2023,1,3,"Bus","96","PEAK",113,130
2023,1,3,"Bus","97","OFF_PEAK",70,87
2023,1,3,"Bus","97","PEAK",59,69
2023,1,3,"Bus","99","OFF_PEAK",145,185
2023,1,3,"Bus","99","PEAK",51,61
2023,1,4,"Bus","1","OFF_PEAK",973,1271
2023,1,4,"Bus","1","PEAK",373,463
2023,1,4,"Bus","10","OFF_PEAK",293,461
2023,1,4,"Bus","10","PEAK",94,191
2023,1,4,"Bus","100","OFF_PEAK",256,284
2023,1,4,"Bus","100","PEAK",104,122
2023,1,4,"Bus","101","OFF_PEAK",433,521
2023,1,4,"Bus","101","PEAK",151,202
2023,1,4,"Bus","104","OFF_PEAK",396,518
2023,1,4,"Bus","104","PEAK",97,149
2023,1,4,"Bus","105","OFF_PEAK",70,82
2023,1,4,"Bus","105","PEAK",52,62
2023,1,4,"Bus","106","OFF_PEAK",247,312
2023,1,4,"Bus","106","PEAK",92,130
2023,1,4,"Bus","108","OFF_PEAK",205,298
2023,1,4,"Bus","108","PEAK",89,122
2023,1,4,"Bus","109","OFF_PEAK",449,534
2023,1,4,"Bus","109","PEAK",117,160
2023,1,4,"Bus","11","OFF_PEAK",354,479
2023,1,4,"Bus","11","PEAK",179,268
2023,1,4,"Bus","110","OFF_PEAK",325,428
2023,1,4,"Bus","110","PEAK",199,240
2023,1,4,"Bus","111","OFF_PEAK",2478,2899
2023,1,4,"Bus","111","PEAK",726,875
2023,1,4,"Bus","112","OFF_PEAK",87,157
2023,1,4,"Bus","112","PEAK",48,65
2023,1,4,"Bus","114","OFF_PEAK",38,57
2023,1,4,"Bus","114","PEAK",3,6
2023,1,4,"Bus","116","OFF_PEAK",335,438
2023,1,4,"Bus","116","PEAK",94,130
2023,1,4,"Bus","117","OFF_PEAK",399,537
2023,1,4,"Bus","117","PEAK",140,164
2023,1,4,"Bus","119","OFF_PEAK",107,160
2023,1,4,"Bus","119","PEAK",41,66
2023,1,4,"Bus","120","OFF_PEAK",198,284
2023,1,4,"Bus","120","PEAK",75,116
2023,1,4,"Bus","121","OFF_PEAK",20,26
2023,1,4,"Bus","121","PEAK",53,62
2023,1,4,"Bus","131","OFF_PEAK",32,49
2023,1,4,"Bus","131","PEAK",79,108
2023,1,4,"Bus","132","OFF_PEAK",119,151
2023,1,4,"Bus","132","PEAK",54,70
2023,1,4,"Bus","134","OFF_PEAK",192,310
2023,1,4,"Bus","134","PEAK",50,123
2023,1,4,"Bus","137","OFF_PEAK",240,365
2023,1,4,"Bus","137","PEAK",136,169
2023,1,4,"Bus","14","OFF_PEAK",98,162
